node_costs,computation_time_ms,instance,selected_nodes_count,total_nodes,path_length,algorithm,objective_value,base_algorithm
48326,4,TSPA,100,200,23197,GreedyCycle2Regret_w1_1_start165,71523,GreedyCycle2Regret_w1_1
49058,3,TSPA,100,200,23537,GreedyCycle2Regret_w1_1_start166,72595,GreedyCycle2Regret_w1_1
48576,4,TSPA,100,200,24137,GreedyCycle2Regret_w1_1_start167,72713,GreedyCycle2Regret_w1_1
49251,4,TSPA,100,200,23521,GreedyCycle2Regret_w1_1_start168,72772,GreedyCycle2Regret_w1_1
48923,4,TSPA,100,200,23479,GreedyCycle2Regret_w1_1_start169,72402,GreedyCycle2Regret_w1_1
48870,3,TSPA,100,200,22771,GreedyCycle2Regret_w1_1_start170,71641,GreedyCycle2Regret_w1_1
48326,4,TSPA,100,200,23691,GreedyCycle2Regret_w1_1_start171,72017,GreedyCycle2Regret_w1_1
49204,4,TSPA,100,200,23714,GreedyCycle2Regret_w1_1_start172,72918,GreedyCycle2Regret_w1_1
49636,4,TSPA,100,200,22851,GreedyCycle2Regret_w1_1_start173,72487,GreedyCycle2Regret_w1_1
49315,3,TSPA,100,200,23126,GreedyCycle2Regret_w1_1_start174,72441,GreedyCycle2Regret_w1_1
48326,4,TSPA,100,200,23691,GreedyCycle2Regret_w1_1_start175,72017,GreedyCycle2Regret_w1_1
48721,4,TSPA,100,200,24331,GreedyCycle2Regret_w1_1_start176,73052,GreedyCycle2Regret_w1_1
48486,4,TSPA,100,200,23801,GreedyCycle2Regret_w1_1_start177,72287,GreedyCycle2Regret_w1_1
48326,4,TSPA,100,200,23197,GreedyCycle2Regret_w1_1_start178,71523,GreedyCycle2Regret_w1_1
48528,3,TSPA,100,200,23960,GreedyCycle2Regret_w1_1_start179,72488,GreedyCycle2Regret_w1_1
48570,4,TSPA,100,200,23180,GreedyCycle2Regret_w1_1_start180,71750,GreedyCycle2Regret_w1_1
47895,4,TSPA,100,200,23490,GreedyCycle2Regret_w1_1_start181,71385,GreedyCycle2Regret_w1_1
48854,4,TSPA,100,200,23811,GreedyCycle2Regret_w1_1_start182,72665,GreedyCycle2Regret_w1_1
48470,4,TSPA,100,200,23553,GreedyCycle2Regret_w1_1_start183,72023,GreedyCycle2Regret_w1_1
47895,4,TSPA,100,200,23490,GreedyCycle2Regret_w1_1_start184,71385,GreedyCycle2Regret_w1_1
48326,3,TSPA,100,200,23304,GreedyCycle2Regret_w1_1_start185,71630,GreedyCycle2Regret_w1_1
48127,4,TSPA,100,200,22981,GreedyCycle2Regret_w1_1_start186,71108,GreedyCycle2Regret_w1_1
49030,4,TSPA,100,200,23214,GreedyCycle2Regret_w1_1_start187,72244,GreedyCycle2Regret_w1_1
49388,3,TSPA,100,200,23657,GreedyCycle2Regret_w1_1_start188,73045,GreedyCycle2Regret_w1_1
49060,4,TSPA,100,200,22885,GreedyCycle2Regret_w1_1_start189,71945,GreedyCycle2Regret_w1_1
48619,4,TSPA,100,200,23617,GreedyCycle2Regret_w1_1_start190,72236,GreedyCycle2Regret_w1_1
49039,4,TSPA,100,200,23490,GreedyCycle2Regret_w1_1_start191,72529,GreedyCycle2Regret_w1_1
49180,3,TSPA,100,200,23609,GreedyCycle2Regret_w1_1_start192,72789,GreedyCycle2Regret_w1_1
48369,4,TSPA,100,200,23578,GreedyCycle2Regret_w1_1_start193,71947,GreedyCycle2Regret_w1_1
48755,4,TSPA,100,200,23249,GreedyCycle2Regret_w1_1_start194,72004,GreedyCycle2Regret_w1_1
48738,4,TSPA,100,200,23656,GreedyCycle2Regret_w1_1_start195,72394,GreedyCycle2Regret_w1_1
48860,4,TSPA,100,200,23517,GreedyCycle2Regret_w1_1_start196,72377,GreedyCycle2Regret_w1_1
49190,3,TSPA,100,200,23554,GreedyCycle2Regret_w1_1_start197,72744,GreedyCycle2Regret_w1_1
48839,4,TSPA,100,200,23377,GreedyCycle2Regret_w1_1_start198,72216,GreedyCycle2Regret_w1_1
48595,4,TSPA,100,200,23291,GreedyCycle2Regret_w1_1_start199,71886,GreedyCycle2Regret_w1_1
47496,14,TSPA,100,200,23098,NearestNeighborAny2Regret_w1_1_start0,70594,NearestNeighborAny2Regret_w1_1
48414,18,TSPA,100,200,22311,NearestNeighborAny2Regret_w1_1_start1,70725,NearestNeighborAny2Regret_w1_1
48414,13,TSPA,100,200,22311,NearestNeighborAny2Regret_w1_1_start2,70725,NearestNeighborAny2Regret_w1_1
48450,11,TSPA,100,200,25488,NearestNeighborAny2Regret_w1_1_start3,73938,NearestNeighborAny2Regret_w1_1
